task,student,buckets,origin,eval_day,arm,seed,teacher,n,base_rate,logloss,ne,cane,cane_mult,cal_mult,cal_clip_frac,cane_shift,ne_miscalibration,auc,pr_auc,ece,pred_mean,cal_ratio,n_train,eval_rows,secs,n_teacher,frac_censored,n_train_band0,n_train_band1,frac_sum_gt1,dom_auc,weight_p99,n_train_band2
1d,S2,160,40,41,C,0,n13,296223,0.1436924209126232,0.3120652773272149,0.758157498738139,0.7580196014317369,0.7579305318091218,0.9779257018565716,0.0,-0.0350960749282643,0.0001378973064021,0.8289744151117556,0.5165551308752238,0.0066600179975563,0.146935928404199,1.0225725718237293,10052380.0,296223,5.6,,0.0283650252968072,,,,,,
1d,S2,160,40,41,D,0,n13,296223,0.1436924209126232,0.3138901333799,0.7625909567386914,0.7625001660453702,0.7623304653668472,0.98193672249358,0.0,-0.0283444652728429,9.07906933211855e-05,0.8269289686815958,0.5156961782684407,0.011598528374371,0.1463357236988992,1.018395561641232,,296223,10.6,,,10048963.0,9767244.0,2.700668119359761e-05,,,
1d,S2,160,40,41,E,0,n13,296223,0.1436924209126232,0.3111997528674379,0.7560547211874244,0.7558908698010218,0.7558220320597285,0.9759817456253926,0.0,-0.0382598702341203,0.0001638513864026,0.8297901695368812,0.5193045995134911,0.006303917095596,0.1472285947526073,1.0246093274615673,9767244.0,296223,5.2,,,,,,0.7032958898302196,3.3976681232452397,
7d,S2,160,40,41,oracle,0,n13,296223,0.1933543310276379,0.3754956528729749,0.7646784579777652,0.7646773856577654,0.764670265032351,0.9981950379422178,0.0,-0.0030121851911687,1.0723199997952904e-06,0.8221334397029094,0.5640737107269181,0.0050766038126382,0.1937039593246611,1.0018082258368095,10052380.0,296223,5.2,,,,,,,,
7d,S2,160,40,41,A,0,n13,296223,0.1933543310276379,0.3886650400661312,0.7914972683004017,0.7913961800181021,0.7917302598593837,1.0177679922701852,0.0,0.0293528149135375,0.0001010882822995,0.8036267340110845,0.541916765124549,0.011633424780257,0.1899787893666717,0.9825421978239336,8183873.0,296223,4.4,,,,,,,,
7d,S2,160,40,41,B_teacher,0,n13,296223,0.1933543310276379,0.3792261894098235,0.7722755124432457,0.7553020258736679,0.7541275193469739,0.8135414772769406,0.0,-0.3846509243128366,0.0169734865695777,0.8295027388296199,0.5746862773368077,0.0444097941039775,0.2376699116495292,1.2291936280214837,8183873.0,296223,0.0,,,,,,,,
7d,S2,160,40,41,B,0,n13,296223,0.1933543310276379,0.3922465349019221,0.7987908066605233,0.7837858944405633,0.7810543109064877,0.8206415195535289,0.0,-0.3565928586326153,0.0150049122199599,0.8128812821905949,0.5486236252110118,0.0427165884507203,0.2356136344805374,1.21855886665843,10052380.0,296223,11.9,8183873.0,,,,,,,
7d,S2,160,40,41,B_nofresh,0,n13,296223,0.1933543310276379,0.3962603643199947,0.8069647731672296,0.792511556337801,0.7890260293628529,0.8237023547896261,0.0,-0.3506200198187432,0.0144532168294285,0.8061244304092285,0.5431574247834029,0.0435027190953796,0.2347381064329004,1.2140307651000954,8183873.0,296223,9.9,8183873.0,,,,,,,
7d,S2,160,40,41,C,0,n13,296223,0.1933543310276379,0.3759264338816837,0.7655557223480587,0.7655529908213737,0.7655832547554476,1.0028783687781948,0.0,0.0048329912284234,2.731526684951469e-06,0.8217258715534654,0.5634887354126338,0.0073639079337893,0.1927993833022854,0.9971298924497678,10052380.0,296223,5.6,,0.1858769804239273,,,,,,
7d,S2,160,40,41,D,0,n13,296223,0.1933543310276379,0.3807249188138135,0.7753276012778311,0.7753195680096482,0.7744588735560398,0.9950366676237932,0.0,-0.0081841965876164,8.033268182883191e-06,0.8175770041944803,0.5612675498918496,0.0178601832122298,0.1943187998180807,1.004988089924424,,296223,4.6,,,10048963.0,9767244.0,0.0004962477833032,,,8183873.0
